tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,synopsis
tt1147621,Playing Columbine,Playing Columbine,0,2008.0,94,Documentary,7.1,173.0,Danny Ledonne,"Made on a shoestring budget with entry-level middleware, Super Columbine Massacre RPG! has easily provoked more debate and discussion than one could imagine a 16-bit role-playing game ever would. In the documentary film Playing Columbine: a true story of videogame controversy, the history of the game is traced back to its inception, through the 2006 shooting at Dawson College in which the game was singled out by the media as a murder simulator that trained the shooter, and finally the game's removal from the list of finalists at the Slamdance 2007 Guerrilla Gamemaker Competition - prompting half the entries and a sponsor to pull out of the festival in protest. Clearly the game has polarized audiences worldwide, giving way to ardent defenders as well as staunch critics. Beyond the controversial game itself, the film explores how controversial media is covered in the press, the school shooting phenomenon, and the future of games as an expressive medium."
tt2593350,The Road to Valhalla,The Road to Valhalla,0,2013.0,\N,Documentary,9.8,8.0,Ken Spurgeon,The story of the Kansas-Missouri border war during the Civil War.
tt8581400,Qui a tué Neandertal,Qui a tué Neandertal,0,2018.0,90,Documentary,7.1,17.0,Thomas Cirotteau,Neandertal man disappeared abruptly 30 000 years ago. Who was that other man and what is the most plausible hypothesis leading to his extinction? An investigation using all current knowledge available tries to answer these questions.
tt3576390,Roland Garros,Roland Garros,0,2014.0,89,"Documentary,Drama,Sport",8.2,11.0,Milos Twilight,From the shacks and dirt sheets of Argentina to Center Court of Roland Garros.
tt0433393,In Die Hand Geschrieben,In Die Hand Geschrieben,0,2004.0,75,Drama,7.4,25.0,Rouven Blankenfeld,"Maria and her husband are a middle-class couple that has to move in with the father of hers, who has a debilitating aneurism. The woman suffers from an obsolete existence as a submitting housewife. Her husband is extremely catholic and does not support the idea of sending Maria's father to an old people's home. She sees no escape from her torture, until a mysterious call takes place.

—Anonymous"
tt0841175,Love for Sale,O Céu de Suely,0,2006.0,90,Drama,7.1,1896.0,Karim Aïnouz,"In order to get funds, a young woman living in the Northeast of Brazil decides to raffle her own body."
tt2049596,Wrong Number,Wrong Number,0,2004.0,144,"Comedy,Drama",7.1,496.0,Matin Rahman,"The story revolves around different comical events regarding telephonic conversation. Athoi (Shrabanti), a young girl loves to dial wrong numbers and through such an incident, gets involved with a boy Abir (Riaz). The story advances through a series of humorous events."
tt5082268,Ein großer Aufbruch,Ein großer Aufbruch,0,2015.0,90,Drama,7.2,90.0,Matti Geschonneck,"After a full life whose end he wants to determine himself, patriarch Holm Hardenberg invites his family and close associates to his picturesque country house on the Chiemsee lake in Bavaria in order to take his leave. Here, Hardenberg's daughters Marie and Charlotte, his ex-wife Ella and his best friends Adrian and Katharina meet. But the original idea of a harmonious concourse turns into a ruthless settling of scores.

—anonymous"
tt1571416,The Right to Love: An American Family,The Right to Love: An American Family,0,2012.0,88,Documentary,7.8,92.0,Cassie Jaye,The Right to Love: An American Family chronicles one story of courage born out of the highly mediatized and controversial Prop 8 2008 election results in California.
tt3830146,Rory Gallagher: Live at Montreux,Rory Gallagher: Live at Montreux,0,2006.0,274,Music,8.4,12.0,Thierry Amsallem,"Disc one features tracks from 1975, 1977, 1979 and 1985, while disc two has the whole concert from 1994 and bonus acoustic tracks from the earlier years. Tracklisting: Disc One 1975: 1. Tattoo'd Lady 2. Garbage Man 3. Cradle Rock 4. Tore Down 5. Laundromat 1977: 6. I Take What I Want 7. Calling Card 8. Secret Agent 9. Bought And Sold 10. Million Miles Away 11. Do You Read Me 12. Pistol Slapper Blues 1979: 13. Shin Kicker 14. The Last Of The Independents 15. Mississippi Sheiks 16. Too Much Alcohol 17. Shadowplay 1985: 18. Bad Penny 19. Moonchild 20. Banker's Blues 21. Philby 22. Walking Blues Disc Two 1994: 1. Continental Op 2. Moonchild 3. I Wonder Who 4. Loop 5. Tattoo'd Lady 6. I Could Have Had Religion 7. Ghost Blues 8. Out On The Western Plain 9. Amazing Grace 10. Walking Blues 11. Blue Moon Of Kentucky 12. Off The Handle 13. Messin' With The Kid 14. I'm Ready Disc Two Bonus Features: Acoustic Tracks: 1975: 1. Pistol Slapper Blues 2. Too Much Alcohol 1977: 3. Out On The Western Plain 4. Barley Grape & Rag / Pistol Slapper Blues 5. Going To My Hometown 1985: 6. Walking Blues Customer Reviews

—editorial"
tt10087626,Louis Theroux: Mothers on the Edge,Louis Theroux: Mothers on the Edge,0,2019.0,59,Documentary,7.2,463.0,Mark Casebow,Louis Theroux visits specialist psychiatric units which treat mothers experiencing serious mental illness whilst allowing them to live alongside their babies.
tt3450262,Rainbows Are Real,Rainbows Are Real,0,2014.0,51,"Documentary,Drama",8.5,12.0,Ritesh Sharma,"A movie based on Transgenders, the 'in-betweens' that are shunned by society, unaccepted and forced to make ends meet through sex work. The film, revolves around the lives of three transgenders, their work, their difficulties, their childhood, their relationships, their hobbies, their normality. The film captures small to larger than life movements in their lives, giving us a peak into their world. This is not only a story of the dark and difficult life of the transgenders, but also of their beautiful journeys filled with psychedelic and vibrant colours of the 'vibgyor' that will engross us and captivate us till we are all hit by one question, how can such beautiful, flamboyant people be denied basic human rights and be victims of todays democracy?

—Anonymous"
tt2676194,La revolución de los alcatraces,La revolución de los alcatraces,0,2013.0,90,"Biography,Documentary,Drama",7.6,23.0,Luciana Kaplan,"The personal journey and social awakening of Eufrosina, a young indigenous woman from Mexico, fighting against gender inequality as well as the seducing offering of political power."
tt0274384,Black & Gold,Black & Gold,0,2001.0,75,"Crime,Documentary,History",7.1,18.0,"Jacqueline Soohen, Rick Rowley","In 1994, New York's biggest and most influential street gang, the Latin Kings, disavowed crime to become the Latin King and Queen Nation, a political organization. This documentary reveals the 3,000-member gang's two-year quest for legitimacy. As the Nation championed prison and police reform, the NYPD and federal authorities clamped down, their efforts ending in a 1998 raid that was the FBI's largest coordinated action since Prohibition. Starring: Not Available
Director: Rick Rowley ...
Genre: Documentary
Format: Full Screen ...
Language: EnglishNot rated. This movie has not been rated by the MPAA."
