tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,synopsis
tt15681824,Siete perros,Siete perros,0,2021.0,83,Drama,7.5,15.0,Rodrigo Guerrero,A lonely guy who lives with seven dogs get a complaint from his neighbors. Will he come up with a creative solution to overcome this?
tt7345948,Ottamuri Velicham,Ottamuri Velicham,0,2017.0,102,Drama,7.5,94.0,Rahul Riji Nair,"Set against the backdrop of a beautiful hilltop village surrounded by dense forest and a decaying tea plantation is the story of Sudha, an under privileged woman who reaches this village after her marriage with Chandran. They stay along with Chandran's brother and aging mother in a confined single room house with a make shift separation to create space for the couple. The room has a strange light without a switch which changes its colors often. While Chandran calls the light his invention of a lifetime, it deprives Sudha of her privacy and begins to haunt her. Adding to her woes, Chandran engages in acts to physically exert his dominance over Sudha. Amidst deep trauma, Sudha realizes that she doesn't have any support and decides to fight for her survival and seeks revenge against Chandran. Will Sudha succeed in her fight for freedom forms the crux of this emotional thriller.

—NV"
tt1176963,Weekend with my Mother,Weekend cu mama,0,2009.0,87,Drama,7.0,1106.0,Stere Gulea,"15 years ago, Luiza decided to make a fresh start in Spain. She left her 3-year-old daughter Cristina in the care of her relatives and took off. When she returns to Romania, the woman learns some shocking truths that were kept hidden from her: Cristina ran away from home, is a drug addict and has a 2-year-old girl who lives in an orphanage. Overwhelmed by guilt, Luiza attempts to save her daughter and thus redeem the mistakes of her youth. To do that, she's got a tight time frame: one weekend...

—MediaPro Pictures"
tt0994907,Riddle of the Polar Sky,Riddle of the Polar Sky,0,2005.0,\N,Documentary,8.0,9.0,Mark Johnston,Documentary about the Aurora Borealis.
tt11197082,Margaret Atwood: A Word after a Word after a Word is Power,Margaret Atwood: A Word after a Word after a Word is Power,0,2019.0,52,"Biography,Documentary",7.6,403.0,"Nancy Lang, Peter Raymont",Canadian author and poet Margaret Atwood discusses her life and work.
tt17063194,Kind Hearts,Kind Hearts,0,2022.0,87,Documentary,7.4,19.0,"Gerard-Jan Claes, Olivia Rochette","The entrancing love story of Billie and Lucas, a young Brussels couple. The film paints a candid portrait of the formative but also uncertain facets of every (first) love."
tt0476004,Rain of Ruin: The Bombing of Nagasaki,Rain of Ruin: The Bombing of Nagasaki,0,1995.0,56,"Documentary,History,War",8.3,18.0,Stephen Segaller,"A look back, from 50 years later, at the political and military circumstances and events leading up to the atomic bombing of Nagasaki on August 9 1945."
tt0439586,Georgi and the Butterflies,Georgi i peperudite,0,2004.0,60,Documentary,7.9,229.0,Andrey Paounov,The incredible adventures in capitalism of psychiatrist Dr. Georgi Lulchev and the Home #6 for Psychologically Challenged Men.
tt10469384,The Rise of Jordan Peterson,The Rise of Jordan Peterson,0,2019.0,91,"Biography,Documentary",7.2,1529.0,Patricia Marcoccia,A documentary about the controversial Canadian university professor Jordan B. Peterson.
tt10788912,Wei,Wei,0,2019.0,71,Documentary,8.4,48.0,Ruud Lenssen,"What happens when director Ruud Lenssen's father is told he suffers from dementia? While Jac clings to his idyllic meadow, mother Ria struggles with her role as a caregiver. In the meantime, the inevitable farewell is closing in."
