tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,synopsis
tt0100465,Rebro Adama,Rebro Adama,0,1991,79,"Comedy,Drama",7.3,336,Vyacheslav Krishtofovich,"In a small urban flat, grandma, mom, and two daughters live in partial harmony. Grandma is bed-ridden and mute, but rings a bell above her head. Her daughter Nina, a museum docent, misses male friendship and both her ex-husbands. Each fathered a daughter: Lida, beautiful, in her 20's, having an affair with her boss, and contemplating a month's vacation with him, and Nastiya, acerbic, 15, in trade school. It's grandma's birthday, so the women prepare a celebration; Nina's new male friend and both girls' fathers come. Lida learns more about her boss, and Nastiya announces she's pregnant just as her ex-boyfriend bangs on the door, drunk. Even grandma has a surprise for the family.

—<jhailey@hotmail.com>"
tt0101254,35 Up,35 Up,0,1991,123,"Biography,Documentary,Romance",8.1,2583,Michael Apted,Director Michael Apted interviews the same group of British-born adults after a seven-year wait as to the changes that have occurred in their lives during the last seven years.
tt0102035,Highway 61,Highway 61,0,1991,102,"Comedy,Music",7.0,1432,Bruce McDonald,A small-town barber goes on a road trip from Thunder Bay to New Orleans with an unpredictable woman and a coffin.
tt0104940,The Muppet Christmas Carol,The Muppet Christmas Carol,0,1992,85,"Comedy,Drama,Family",7.7,58329,Brian Henson,"Kermit the Frog, Miss Piggy, Fozzie and the entire cast of the Muppet universe come together to re-tell Charles Dicken's immortal classic A Christmas Carol This was the first time the Muppets appeared on screen since Jim Henson's death in 1990. Michael Caine gives a magnificent performance as Ebenezer Scrooge in a world full of muppet comedy and almost scary performances from the Ghosts of Christmas past, present, and yet to come"
tt0105461,Staden i mitt hjärta,Staden i mitt hjärta,0,1992,67,Documentary,7.5,37,Anders Wahlgren,"Stockholm in the 1970's. A nostalgic and critical reflection on the demolition of the old Klara district, the heart of Stockholm, as a result of the implementation of the Norrmalm-regulation - part of the renewal of the city architecture of the central parts of the capital.

—Ulf Kjell Gür"
tt0106989,"Gatica, the Monkey","Gatica, el mono",0,1993,136,"Biography,Drama,Sport",7.2,548,Leonardo Favio,"An Argentina film, which narrates the life of Argentine boxer José María Gatica, from his childhood until his tragic death in Buenos Aires in 1963."
tt0107688,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,76,"Animation,Family,Fantasy",7.9,332899,Henry Selick,"Pumpkin king Jack Skellington (speaking voice Chris Sarandon, singing Danny Elfman), an elegantly attenuated skeleton, has delivered another scary Halloween. But he receives the adulation of Halloweentown with no enthusiasm -- something is missing from Jack's life and he's tired of doing the same old Halloween thing year after year. The missing something might well be Sally (Catherine O'Hara), an animated rag doll who yearns for Jack, but he doesn't notice. (Sally was created by Halloweentown's evil scientist (William Hickey), who keeps her locked up except when she knocks him out by slipping deadly nightshade in his soup.)After pondering his ennui in a cemetery (disturbing Sally, who's replenishing her supply of deadly nightshade), Jack takes his ghostly dog Zero for a walk in the woods. They come upon a strange circle of trees, each with a door representing a holiday. Jack opens the Christmas door and they're sucked in, landing in Christmastown. Jack is curious about everything he sees there, but finds it all delightful and wants to be part of it.Back in Halloweentown Jack calls a town meeting, where he describes what he saw in Christmastown. His people don't seem very impressed, so to draw them in, he makes some elements of Christmas -- including Sandy Claws (Edward Ivory) -- sound scary. Then he announces that they're taking over Christmas and starts assigning jobs. The evil scientist must whip up some reindeer, Halloweentown's top trick-or-treaters are to kidnap Sandy Claws, and Sally's task is to make Jack a red Santa suit. She tries to tell him that co-opting Christmas is a terrible idea, but he's too wrapped up in his enthusiasm to listen.The three trick-or-treaters return triumphantly with the Easter Bunny; Jack sends them back and eventually they bring him Sandy Claws (who surprises Jack by having hands rather than claws). Jack directs the trick-or-treaters to take Sandy Claws away and make him comfortable, but they give him to Oogie Boogie (Ken Page) instead.Meanwhile, Sally has produced a red suit (without a hat, so Jack steals Sandy's) and the evil scientist's skeletal reindeer are hitched to a sleigh full of creepy toys. Sally tries to sabotage his Christmas Eve delivery by adding fog juice to the town well, and it almost works. But the spectral dog Zero, who happens to have a glowing nose, comes to the rescue. Sally deduces that only Sandy Claws will be able to help Jack now, and sneaks into Oogie Boogie's lair in an effort to free him.Jack sets off in his sleigh, but he doesn't really get Christmas -- his idea of a keen gift for a small child is a shrunken head or a toy duck with sharp teeth that chases its owner -- so he spreads terror and mayhem at every house he visits. He ends up being blown up out of the sky by the terrified populace. Realizing both his mistake and his desire to be the best pumpkin king he can be, he goes back to Halloweentown to find Sandy Claws and set Christmas right.He surprises Oogie Boogie, frees Sally and Sandy Claws, and unravels Oogie Boogie in a decisive final showdown. Santa Claus scolds Jack about trying to take over a holiday that isn't his, and then sets about magically saving Christmas. Jack and Sally return to town just as Santa Claus flies over and offers the Halloweentownsfolk a bit of Christmas magic: their first snowfall. Jack and Sally share a tender moment in the cemetery, realizing they were always meant to be together."
tt0109830,Forrest Gump,Forrest Gump,0,1994,142,"Drama,Romance",8.8,2050007,Robert Zemeckis,"The film begins with a feather falling to the feet of Forrest Gump who is sitting at a bus stop in Savannah, Georgia. Forrest picks up the feather and puts it in the book Curious George, then tells the story of his life to a woman seated next to him. The listeners at the bus stop change regularly throughout his narration, each showing a different attitude ranging from disbelief and indifference to rapt veneration.On his first day of school, he meets a girl named Jenny, whose life is followed in parallel to Forrest's at times. Having discarded his leg braces, his ability to run at lightning speed gets him into college on a football scholarship. After his college graduation, he enlists in the army and is sent to Vietnam, where he makes fast friends with a black man named Bubba, who convinces Forrest to go into the shrimping business with him when the war is over. Later while on patrol, Forrest's platoon is attacked. Though Forrest rescues many of the men, Bubba is killed in action. Forrest is awarded the Congressional Medal of Honor for his heroism.While Forrest is in recovery for a bullet shot to his butt-tox, he discovers his uncanny ability for ping-pong, eventually gaining popularity and rising to celebrity status, later playing ping-pong competitively against Chinese teams. At an anti-war rally in Washington, D.C. Forrest reunites with Jenny, who has been living a hippie counterculture lifestyle.Returning home, Forrest endorses a company that makes ping-pong paddles, earning himself $25,000, which he uses to buy a shrimping boat, fulfilling his promise to Bubba. His commanding officer from Vietnam, Lieutenant Dan, joins him. Though initially Forrest has little success, after finding his boat the only surviving boat in the area after Hurricane Carmen, he begins to pull in huge amounts of shrimp and uses it to buy an entire fleet of shrimp boats. Lt. Dan invests the money in Apple Computer and Forrest is financially secure for the rest of his life. He returns home to see his mother's last days.One day, Jenny returns to visit Forrest and he proposes marriage to her. She declines, though feels obliged to prove her love to him by sleeping with him. She leaves early the next morning. On a whim, Forrest elects to go for a run. Seemingly capriciously, he decides to keep running across the country several times, over some three and a half years, becoming famous.In present-day, Forrest reveals that he is waiting at the bus stop because he received a letter from Jenny who, having seen him run on television, asks him to visit her. Once he is reunited with Jenny, Forrest discovers she has a young son, of whom Forrest is the father. Jenny tells Forrest she is suffering from a virus (probably HIV, though this is never definitively stated). Together the three move back to Greenbow, Alabama. Jenny and Forrest finally marry. The wedding is attended by Lt. Dan, who now has prosthetic legs and a fiancee. Jenny dies soon afterward.The film ends with father and son waiting for the school bus on little Forrest's first day of school. Opening the book his son is taking to school, the white feather from the beginning of the movie is seen to fall from within the pages. As the bus pulls away, the white feather is caught on a breeze and drifts skyward."
tt0111519,"Once a Year, Every Year",Tutti gli anni una volta l'anno,0,1994,88,Comedy,7.2,42,Gianfrancesco Lazotti,"A man enters a restaurant in Trastevere, in the suburbs of Rome, and asks the owner to cook him the superb bass he has just been given. He wants it served at the dinner gathering like every year the group of inseparable friends he is a member of. The others join him. The last to come is a lawyer who has just liquidated the succession of the one that will be missing tonight. The deceased leaves them an estate in Umbria provided they live there in community. What will the friends decide during this dinner like no other?

—Guy Bellinger"
tt0112832,Dealers Among Dealers,Dealers Among Dealers,0,1995,78,Documentary,7.9,21,Gaylen Ross,A fascinating inside look behind the scenes of the tight-knit world of the New York diamond business.
tt0114819,Vacant Possession,Vacant Possession,0,1995,95,Drama,7.4,78,Margot Nash,"Following the death of her mother Tessa (Pamela Rabe), a young woman, returns after many years to the weather-beaten family home on the shores of Sydney's Botany Bay. But the old family home begins to bring old wounds more and more to life. The story unfolds through flashbacks yet as it progresses the flashbacks merge into the present as it becomes apparent that the situation Tessa has returned to is very much the result of that which passed before. This is a film about memory - personal and collective. To quote the director: 'the story of a house, land and two families - one white, one Aboriginal - both living in the shadow of the past'. The deliberately ambiguous title could refer to the house itself, but also the history of White Australia (see Terra nullius).

—swity_de"
tt0117161,Sleeping Man,Nemuru otoko,0,1996,103,Drama,7.0,254,Kôhei Oguri,"Ever since an accident in the mountains outside town, Takuji's slept in a coma; his neighbors care for him as new events occur every day."
tt0118163,The Whole Wide World,The Whole Wide World,0,1996,111,"Biography,Drama,Romance",7.1,3773,Dan Ireland,"In 1933 Texas, a schoolteacher and aspiring writer meets a pulp fiction writer, and a relationship soon develops between the two, but it is doomed by his slavishly devotion to his ailing mother and insistence on his freedom."
tt0118884,Contact,Contact,0,1997,150,"Drama,Mystery,Sci-Fi",7.5,274627,Robert Zemeckis,"The film opens with a shot of Earth from space and an audio track of various samples of recognizable mass communications from world history. The shot suddenly begins to travel outwards from Earth at impossible speed, passing Mars, the Asteroid Belt of the Solar System, Jupiter, travelling through Saturn's rings and leaving our Solar System. Travel continues even faster, seemingly faster than light, passing the Pillars of Creation in the Eagle Nebula and out of the Milky Way galaxy. The trip passes through another galaxy, finally showing us a field of thousands of galaxies. After a few moments we pass through the iris of a young girl, Ellie Arroway, who is reciting a HAM radio greeting C-Q (seek you) in her bedroom.Ellie has a gift for science and is encouraged by her kindly father to communicate with people in distant cities on her HAM. Ellie makes contact with someone in Pensacola, Florida, her longest communication yet at over a thousand miles from her home near Madison, Wisconsin. That night Ellie asks if she could ever have a transmitter powerful enough to talk to her deceased mother (who died in childbirth). Her father says he doesn't know but suggests that Ellie is tenacious enough that she probably could accomplish such a task one day.Ellie's father dies one night while they stargaze. Ellie seems to blame herself for not getting her father his heart medication in time. Ellie grows up to become a brilliant astrophysicist, earns her doctorate and begins her research with SETI (Search for Extraterrestrial Intelligence Institute) at Arecibo in Puerto Rico. Joining her there is another astrophysicist, Kent, who is blind but has exceptional hearing.At Arecibo, Ellie meets influential spiritual ponderer Palmer Joss (Matthew McConaughey), and has an intense, brief, but detached (on her part) affair with him. One day while looking in a Cracker Jack box, he finds a toy compass and gives it to her, so she wont lose her way and that it might save her life one day. Palmer wants to get closer to Ellie in terms of a relationship, but Ellie is more preoccupied with her search for extra-terrestrial life. Shortly after, Ellie is angered when her supervisor, David Drumlin, pulls her team's funding. She gets in a heated debate defending her work, to which Drumlin chastises her for spending time on 'nonsense.'Taking action, Ellie and her team pool together to try and get funding for their project from private sources. Ellie and her team spend 18 months searching, before finding their benefactor in the form of S. R. Hadden (John Hurt), a billionaire investor who had been known for innovation and had fallen out of favor in the scientific community. While giving a presentation to the Hadden Industries board of directors, Ellie becomes confrontational when it seems the board has no interest in funding her project. One of the board members receives an unexpected phone call and tells Ellie that she has her funding. Ellie looks at a nearby observation camera and mouths Thank you.Hadden's funding allows Ellie to have access to the 'Very Large Array' (VLA) in New Mexico, a facility with 27 large radio antenna dishes which Ellie uses to continue her search. Even here, Drumlin and the scientific community are not far behind. With 4 years of finding nothing, and even though all funding for the project is privatized by Hadden Industries, and because of Ellie's relentless pursuit and reputation for bizarre experiments, the project is still in danger of being shut down after Drumlin convinces the scientific community that it's a waste of resources. Even so, Ellie vows not to quit.One evening, while listening intently, Ellie hears a powerful signal. She and her team analyze the signal which begins to transmit a prime number pattern. They determine that it's emanating from the star Vega, confirmed by others the world over, undeniable and strong in its pulsing power, which is much like a heart beating. Other astronomers in world-wide countries are utilized to record the signal, since the VLA is only aligned to Vega for a certain amount of time. Shortly thereafter, Drumlin inserts himself into the situation, taking credit for Ellie's work. Ellie is also pressured by the president's National Security Adviser, Michael Kitz (James Woods) who wishes to militarize the project, feeling that due to other countries having heard the message, Ellie has compromised national security. The message, however, is transmitted in pulses equaling prime numbers, to wit Ellie explains that mathematics is a universal language, proving the message was not meant strictly for the United States or its government.Kitz and his assistant Rachel Constantine (Angela Bassett) inform the President when a video feed of Hitler is found mixed into the prime number pulse pattern. It is from the 1936 Olympics, the first television signal strong enough to leave the atmosphere, but the implications are threatening. They ponder if the alien intelligence is seeing an ally in Hitler, or merely bouncing the signal back to Earth. Religious right mouthpiece Richard Rank (Rob Lowe) reports that the fundamentalist camp is wary. At the same time, huge crowds of people descend on the VLA compound in New Mexico, trying to hear the signal. Some come for support, others, such as a religious zealot named Joseph (Jake Busey), have come to condemn Ellie and the others, preaching against science and claiming that god exists in Vega.A short time later it is found that interlaced within the TV signal, are a number of pages of digital data, over 60,000 in total. Ellie is then given authority over the deciphering, but after many months, the edges of the pages do not seem capable of lining up. Ellie soon gets her answer in the form of Hadden himself, who meets with Ellie privately. Hadden shows considerable knowledge of Ellie herself, saying that he prefers to know as much as he can about his investments. (One of the video clips he uses is that of Ellie presenting to his corporation's board, indicating that he made the phone call that got Ellie her funding.) Ellie is initially confrontational, saying that Hadden had compromised the security surrounding the project but seems to back off a bit when Hadden tells her he's dying and wants to give something back to the world, which he exploited for decades building his fortune.Hadden then explains that Ellie and her team had been deciphering the pages in only two dimensions. The pages it seems, were created in three dimensions by an intelligence that would work in that manner for efficiency. With this revelation, Ellie is able to find the primer, or the key to decoding the alien's message. Within the pages, there appear to be some form of blueprints. While Ellie speculates they could be a transport, Kitz and his security detail feel it could be a weapon of some kind, falling back on speculation that any alien life forms would be hostile to mankind.The decryption team is able to determine that the plans are indeed for a type of transport and contain an image of a human-like figure. Construction of the machine is estimated to cost as much as about 300 billion dollars, with a number of countries vying for the ability to join in construction, or to have a representative from their country vie for the chance to travel in the machine.A special panel is convened to select the appropriate candidate for the trip. Ellie is surprised when Drumlin resigns his post to become a candidate. Ellie is also a candidate, and makes it to the final round. Palmer (who is on the panel) cripples Ellie's chances of being selected by asking her if she believes in God. Ellie indirectly answers the question by not stating a direct answer. Her falter is then picked up by Drumlin, who then speaks 'passionately,' using God in his closing remarks. His 'grandstanding' attitude towards the panel works, and he is chosen to go. Ellie feels betrayed by Palmer, who states that he couldn't choose someone who doesn't believe in God. Ellie angrily tells him that she told the truth, whereas Drumlin just told them what they wanted to hear. She then returns the compass he gave her.After a few years of construction the enormous machine is completed at Cape Canaveral, and it's first test-run is televised on all major news networks. While Drumlin is supervising the test from the machine, Ellie is allowed to be part of the test's control team at NASA's Mission Control. All seems to be going well in testing, until Joseph (who Ellie had seen previously preaching against the project at the VLA in New Mexico) is spotted on security cameras in the machine's gantry, dressed in a stolen technician's uniform and with explosives strapped to his chest. Drumlin and a number of men try to subdue him, but Joseph detonates the explosives, destroying the machine and those conducting the test inside the machine, including Drumlin.Ellie returns to the VLA, saddened that her discovery or any chance of making contact appears to have been destroyed. That evening, she is surprised to find a satellite uplink in her apartment. The uplink connects her to the MIR Space Station, which has now become home to S.R. Hadden, as a way to try and slow the terminal cancer that is 'eating him alive.' Happily, Hadden shows Ellie that his company had secretly constructed a second machine in secret on the island of Hokkaido in Japan, and that he wants her to take the trip this time.Ellie is flown to a special ship just off the site, where she is met by the machine's crew, and given a pre-flight rundown, showing her everything from survival gear, to a suicide pill in case she is marooned in space. Shortly before the trip, she is reunited with Palmer, who returns her compass that she gave him during their last meeting. He then reveals that he has come to care about her, and that previously, he hadn't wanted her to go, fearing she might not ever return.Ellie is then put into the transport pod. The startup and running of the machine prove to be very powerful and video/audio contact with Ellie is nearly lost in the tremendous energy the machine projects. She repeats that she's Okay to go! and is heard by Kent, who can just make out her voice within the interference. The pod is launched into the center of the machine, she appears to travel through several wormholes, seeing bits of alien machinery, and a city on a distant planet of some kind. At one point, Ellie separates herself from the restraint chair in the pod to retrieve Palmer's compass which had come loose from her neck. The chair breaks violently apart from its fastenings and slams into the pod's side, fulfilling Palmer's prediction that the compass would one day save her life. As Ellie stares through a wall of the pod, its translucency reveals a brilliant, celestial event. Before she realizes it, she drifts to a gentle landing on a sandy beach environment (similar to the one she drew of Pensacola as a little girl). Suddenly, she notices a shimmering image moving towards her. As it draws near, she is shocked to see that it is her father.However, she soon determines that everything (the beach, the image of her Father) is not real, but memories and thoughts taken from her mind by the alien (who has taken on the guise of her Father). He explains that this was a way to allow them to make things more comfortable for her. The alien reveals that the broadcast signal from the 1936 Olympics was how the aliens knew about Earth, and that there are many others out in space. When Ellie asks about the transport system, the alien explains that their race found it, but they have no idea who built it. The alien explains that in examining her memories, that humans feel 'so alone.' But to the aliens the one thing they've found that brings them comfort is each other. The alien explains that Ellie has to go home. However, she tries to ask more questions, but is told by the alien that she has taken the first step, and in time, mankind will make another, and find out more. That's the way it's been done for billions of years, he explains. The sky above the beach begins to swirl back into another worm hole and she vanishes.The pod lands in the netting at the bottom of the machine. The mission director tells her that there was a malfunction. Asking to know how long she was gone, she is shocked when she's told the pod simply dropped straight through the machine. Footage from a number of video cameras confirms it, and a video recorder that was in her communications headpiece only recorded static.After these events, Kitz resigns from his post as National Security Adviser, and holds an inquiry to find out 'what really happened.' During the inquiry, Kitz assumes that the entire event was a hoax: from the alien message to the construction blueprints. His feelings are that it was all a scheme perpetrated by S.R. Hadden, maybe in some crazed idea to unite the world (Hadden is unable to be presented to the panel, as he has since died onboard MIR, finally succumbing to cancer). Even with Kitz demanding answers, Ellie explains that without any evidence or proof, she firmly believes that she did travel to Vega, and that she did experience the meeting with the other being and wishes she could share the experience with all of humanity. The hearing ends, and Palmer is there to accompany her. Outside the Capitol building in Washington, a number of people are there, many in support of Ellie's theory. As she is put into a car, Palmer is asked his opinion. Stating that since he is a 'man of faith,' he is bound by a different covenant than Ellie. But even so, he does state that he believes her.In the aftermath of the inquiry, Kitz is in a discussion with Rachel Constantine. After discussing the investigation committee's findings, Rachel explains to Kitz how it appears that he overlooked the portion of the report regarding Ellie's video recorder. While Kitz said that it had just recorded static, Rachel has discovered in the report that it actually recorded 18 hours of static, the precise amount of time Ellie believed her journey had taken.Ellie is shortly thereafter given a grant to continue her work. She gives a group of grade school students a tour of the VLA facility. When one of them asks her if there could be life in outer space, she echoes her father's sentiment from when she was young, If there isn't, then it'd be an awful waste of space.The ending of the film cuts to some time later on. Ellie is still working at the VLA and even more dishes are being built to allow the team to search further into space.A dedication of the movie to the late astronomer Carl Sagan, author of the novel the film was based upon, precedes the closing credits."
